value_tot_resial_building_aud000, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, tot_dwl_num, value_non_resial_building_aud000, sa2_code, value_alterations_additions_conversions_resial_building_aud000, sa2_name
134880.3,465,140276.6,0.0,0,134443.1,465,5396.3,"212031302",437.2,"Cranbourne North"
68609.9,259,74146.9,0.0,0,67410.1,259,5537.0,"212031303",1199.9,"Cranbourne South"
172166.7,405,239226.0,70300.0,255,101293.2,660,67059.3,"212031304",573.5,"Cranbourne West"
62024.8,13,93996.3,34825.7,83,10154.4,97,31971.5,"206061136",17044.7,"Prahran - Windsor"
95923.1,1,123630.3,91153.8,352,698.9,358,27707.2,"206071141",4070.4,"Collingwood"
11522.4,8,12386.8,8767.0,49,2225.8,57,864.3,"210031440",529.6,"Hadfield"
29003.1,89,29349.7,0.0,0,27563.9,89,346.6,"210041240",1439.2,"Sunbury"
99200.1,337,111337.8,5952.5,34,90958.9,371,12137.7,"210041241",2288.7,"Sunbury - South"
23027.7,4,37411.6,1977.7,7,2571.4,18,14383.9,"206071142",18478.6,"Fitzroy"
16631.4,18,49553.8,3897.2,9,9244.1,27,32922.4,"208021180",3490.0,"Hughesdale"
99580.6,328,99786.1,12732.0,55,86689.0,383,205.5,"213051466",159.6,"Point Cook - South"
26819.2,42,28950.3,3698.7,11,19255.4,54,2131.0,"207031162",3865.2,"Blackburn South"
35887.1,35,39768.6,6673.1,18,18614.7,53,3881.5,"207031167",10599.4,"Surrey Hills (East) - Mont Albert"
94300.4,57,123938.6,40792.7,79,40103.5,136,29638.2,"208011170",13404.1,"Brighton East"
55788.1,78,77482.6,23803.7,72,25758.5,150,21694.4,"208011171",6225.9,"Cheltenham - Highett (West)"
103548.7,59,106853.5,33366.4,83,50090.0,143,3304.8,"208011172",20092.3,"Hampton"
113441.1,38,132349.8,81548.6,348,12643.6,392,18908.8,"206011105",19248.8,"Brunswick"
139454.5,9,141819.6,123981.2,495,3521.5,513,2365.1,"206011106",11951.8,"Brunswick East"
25309.3,19,27444.3,8040.0,30,8692.5,51,2135.1,"206011109",8576.8,"Pascoe Vale South"
200014.0,0,1416968.2,199734.0,464,0.0,464,1216954.2,"206041118",280.0,"Docklands"
103910.6,3,191551.9,86300.0,101,1430.1,112,87641.3,"206041119",16180.5,"East Melbourne"
16328.1,34,19409.2,8032.8,42,7121.3,77,3081.1,"212031305",1174.0,"Hampton Park - Lynbrook"
8598.8,8,10973.8,4258.8,23,2313.4,31,2375.0,"213021342",2026.7,"Altona Meadows"
