SOL_Japanese_P, SOL_Se_As_A_L_Tagal_F, SEO_Persons, SOL_Greek_M, SOL_Greek_F, SOL_Aus_Indig_Lang_P, SOL_Chin_lang_Tot_P, SOL_Se_As_A_L_Othr_P, SOL_Chin_lang_Tot_M, SOL_Aus_Indig_Lang_M, SOL_Japanese_F, SOL_Se_As_A_L_Tagal_P, SOL_Aus_Indig_Lang_F, SOL_In_Ar_Lang_Punj_P, SOL_Chin_lang_Tot_F, SOL_Se_As_A_L_Tagal_M, SOL_Japanese_M, SOL_Se_As_A_L_Filipino_F, SOL_Arabic_M, SOL_Se_As_A_L_Indon_F, SOL_Se_As_A_L_Othr_F, SOL_Arabic_P, SOL_Se_As_A_L_Filipino_P, SOL_Arabic_F, SOL_Se_As_A_L_Filipino_M, SOL_Russian_M, SOL_Russian_P, SOL_Se_As_A_L_Othr_M, SOL_Se_As_A_L_Indon_M, SOL_Se_As_A_L_Indon_P, SOL_Chin_lang_Mand_F, SOL_Russian_F, SOL_Greek_P, SOL_Chin_lang_Other_F, Language_spoken_home_ns_M, SEO_Males, SOL_Ir_La_Pe_excl_Da_P, SOL_Ir_La_Pe_excl_Da_M, SOL_Ir_La_Pe_excl_Da_F, SOL_Tamil_F, Language_spoken_home_ns_F, SOL_French_M, SOL_Maltese_M, SOL_Dutch_M, SOL_Chin_lang_Mand_P, SOL_Maltese_P, SOL_Dutch_F, SOL_Irani_Lan_Othr_F, SOL_French_F, SOL_Chin_lang_Mand_M, SOL_Italian_F, SOL_Chin_lang_Other_M, SOL_Maltese_F, SOL_French_P, SOL_Irani_Lan_Othr_M, SOL_Dutch_P, SOL_Chin_lang_Other_P, SOL_Italian_M, SOL_Other_P, SOL_Irani_Lan_Othr_P, SOL_Ir_Lang_Dari_F, SOL_Italian_P, SOL_In_Ar_Lang_Punj_M, SOL_Portuguese_F, SOL_In_Ar_Lang_Punj_F, SOL_Ir_Lang_Dari_M, SOL_Ir_Lang_Dari_P, SOL_Khmer_F, SOL_Tamil_P, SOL_In_Ar_Lang_Tot_P, SOL_Tamil_M, SOL_In_Ar_Lang_Othr_F, SOL_In_Ar_Lang_Tot_M, SOL_Portuguese_P, SOL_Khmer_P, SOL_Other_F, SOL_In_Ar_Lang_Othr_M, SOL_Khmer_M, SOL_Other_M, SOL_In_Ar_Lang_Tot_F, SOL_In_Ar_Lang_Othr_P, SOL_Portuguese_M, SOL_Macedonian_F, SOL_Hungarian_P, Total_F, SOL_Serbian_P, SA2_MAIN11, SOL_Spanish_M, SOL_Turkish_F, SOL_Serbian_M, SOL_Spanish_P, SOL_Serbian_F, SOL_Se_As_A_L_Tot_M, SOL_Se_As_A_L_Tot_F, SOL_Spanish_F, SOL_In_Ar_Lang_Beng_M, SOL_In_Ar_Lang_Beng_P, SOL_Chin_lang_Cant_P, Total_P, Total_M, SOL_In_Ar_Lang_Beng_F, SOL_Se_As_A_L_Tot_P, SOL_Thai_P, SOL_Thai_M, Language_spoken_home_ns_P, SOL_Chin_lang_Cant_M, SOL_Thai_F, SOL_Croatian_F, SA2_NAME11, SOL_Chin_lang_Cant_F, SOL_Turkish_M, SOL_Assyrian_P, SOL_Assyrian_M, SOL_Turkish_P, SOL_Hungarian_F, SOL_Hungarian_M, SOL_Assyrian_F, SOL_Iran_Lan_Tot_F, SOL_In_Ar_Lang_Urdu_F, SOL_In_Ar_Lang_Sinh_F, SOL_Iran_Lan_Tot_M, SOL_Polish_P, SOL_In_Ar_Lang_Urdu_M, SOL_Iran_Lan_Tot_P, SOL_In_Ar_Lang_Sinh_M, SOL_In_Ar_Lang_Urdu_P, SEO_Females, SOL_In_Ar_Lang_Sinh_P, SOL_Croatian_M, SOL_Korean_M, SOL_Croatian_P, SOL_Polish_M, SOL_Korean_P, SOL_Tot_M, SOL_German_F, SOL_Tot_P, SOL_Tot_F, SOL_Polish_F, SOL_Vietnamese_F, SOL_Samoan_F, SOL_Vietnamese_P, SOL_German_M, SOL_Korean_F, SOL_Vietnamese_M, SOL_Samoan_M, SOL_In_Ar_Lang_Hind_F, SOL_Samoan_P, SOL_German_P, SOL_In_Ar_Lang_Hind_P, SOL_Macedonian_P, SOL_In_Ar_Lang_Hind_M, SOL_Macedonian_M
40,6,8243,183,211,0,554,10,258,0,21,11,0,31,296,5,19,6,24,11,4,55,12,31,6,17,32,6,8,19,178,15,394,23,216,3935,46,26,20,31,176,16,3,0,333,6,0,0,22,155,238,20,3,38,0,0,43,186,203,0,0,424,21,5,10,0,0,0,65,155,34,14,87,8,0,109,14,0,94,68,28,3,21,4,5783,16,"209011200",33,5,6,66,10,25,27,33,0,0,178,11085,5302,0,52,17,5,392,83,12,30,"Ivanhoe",95,7,0,0,12,4,0,0,20,3,9,26,28,5,46,5,8,4308,14,22,16,52,11,31,1151,17,2450,1299,17,38,0,75,16,15,37,0,32,0,33,74,44,42,23
28,33,10260,593,626,9,978,49,471,5,16,52,4,463,507,19,12,27,745,16,29,1455,41,710,14,13,32,20,20,36,330,19,1219,23,636,5104,46,22,24,28,552,33,91,7,642,182,7,32,28,312,2167,25,91,61,20,14,48,1893,492,52,8,4060,291,21,172,8,16,3,59,1109,31,55,668,43,3,230,84,0,262,441,139,22,213,10,11539,61,"209021208",77,58,28,152,33,73,105,75,28,52,288,22941,11402,24,178,20,8,1188,134,12,52,"Reservoir - West",154,55,88,40,113,7,3,48,64,26,52,50,30,39,114,42,65,5156,94,73,18,125,7,35,5662,21,11493,5831,23,181,24,342,15,17,161,15,112,39,36,296,406,184,193
29,6,20338,94,119,3,176,5,79,3,19,6,0,10,97,0,10,4,20,14,0,57,8,37,4,13,25,5,4,18,60,12,213,14,266,10045,27,10,17,4,342,39,3,29,105,12,40,0,42,45,205,7,9,81,0,69,21,189,191,0,0,394,6,3,4,0,0,3,9,76,5,3,38,6,3,101,3,0,90,38,6,3,54,19,11645,22,"209031209",25,8,13,47,9,13,24,22,0,0,50,22802,11157,0,37,13,3,608,27,10,26,"Eltham",23,16,0,0,24,11,8,0,17,4,14,10,29,0,27,16,4,10293,30,18,4,44,9,10,846,64,1856,1010,20,10,0,13,57,6,3,0,13,0,121,26,106,13,52
3,0,4982,6,0,0,19,0,8,0,0,0,0,0,11,0,3,3,3,0,0,3,3,0,0,0,3,0,0,0,6,3,6,0,99,2463,4,0,4,0,61,6,0,51,10,0,66,0,9,4,45,0,0,15,0,117,0,41,34,0,0,86,0,0,0,0,0,3,0,0,0,0,0,0,3,16,0,0,18,0,0,0,3,17,2799,0,"211051279",3,0,0,6,0,0,3,3,0,0,9,5541,2742,0,3,0,0,160,4,0,0,"Monbulk - Silvan",5,0,0,0,0,11,6,0,4,0,0,0,25,0,4,0,0,2519,0,4,3,4,12,6,180,26,399,219,13,0,0,0,16,3,0,0,0,0,42,0,3,0,0
8,0,3321,5,4,0,3,0,0,0,3,0,0,6,3,0,5,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,9,0,34,1684,4,4,0,0,26,0,3,0,3,3,5,0,3,0,12,0,0,3,0,5,0,8,18,0,0,20,3,0,3,0,0,0,0,6,0,0,3,0,0,9,0,0,9,3,0,0,0,4,1740,0,"209031210",7,0,0,15,0,0,0,8,0,0,0,3510,1770,0,0,3,0,60,0,3,6,"Hurstbridge",0,0,0,0,0,0,4,0,0,0,0,4,3,0,4,0,0,1637,0,0,0,6,0,0,52,15,129,77,3,0,0,0,0,0,0,0,0,0,15,0,0,0,0
0,0,3241,11,11,4,3,0,3,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,22,0,118,1648,3,0,3,0,75,0,0,0,3,0,3,0,4,3,11,0,0,4,0,3,0,15,27,0,0,26,5,0,5,0,0,0,0,10,0,0,5,0,0,17,0,0,10,5,0,0,0,7,1739,0,"209031211",8,0,0,12,0,0,0,4,0,0,0,3578,1839,0,0,0,0,193,0,0,0,"Kinglake",0,0,0,0,0,3,4,0,3,0,0,0,0,0,3,0,0,1593,0,4,0,4,0,0,73,3,144,71,0,0,0,0,9,0,0,0,0,0,12,0,4,0,4
3,0,4693,11,5,0,13,0,6,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,16,0,90,2376,3,3,0,0,66,3,3,8,7,6,5,0,5,3,19,0,3,8,0,13,0,20,16,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,3,3,2467,0,"209031212",3,0,0,8,0,0,0,5,0,0,6,5021,2554,0,0,3,0,156,3,3,3,"Panton Hill - St Andrews",3,0,0,0,0,0,3,0,0,0,0,3,6,0,3,0,0,2317,0,0,0,3,3,0,88,14,172,84,3,0,0,0,12,0,0,0,0,0,26,0,6,0,3
6,7,7300,88,90,0,107,0,48,0,3,12,0,22,59,5,3,3,39,4,0,82,3,43,0,5,14,0,4,8,32,9,178,13,117,3681,9,4,5,5,101,9,7,3,64,16,5,0,10,32,216,3,9,19,0,8,16,221,74,0,0,437,13,6,9,0,0,0,8,67,3,0,34,9,0,34,0,0,40,33,0,3,61,7,4468,41,"209031213",6,18,19,22,22,9,14,16,0,0,27,8951,4483,0,23,8,3,218,13,5,40,"Plenty - Yarrambat",14,25,0,0,43,4,3,0,5,3,5,4,6,0,9,7,3,3619,12,27,0,67,3,3,685,32,1433,748,3,3,0,3,14,3,0,0,16,0,46,30,130,14,69
12,3,6021,35,30,0,31,0,11,0,4,3,0,4,20,0,8,0,4,0,0,7,0,3,0,0,3,0,0,0,12,3,65,0,119,3021,6,3,3,0,104,10,0,10,19,5,15,0,10,7,42,0,5,20,0,25,0,36,28,0,0,78,4,0,0,0,0,0,0,12,0,0,4,0,0,15,0,0,13,8,0,0,3,0,3303,0,"209031214",5,0,0,8,0,0,3,3,0,0,12,6607,3304,0,3,0,0,223,4,0,3,"Research - North Warrandyte",8,0,0,0,0,0,0,0,3,0,3,3,13,0,6,0,0,3000,3,3,3,6,4,3,164,17,363,199,9,3,0,3,15,0,0,0,5,0,32,5,3,0,0
25,26,15988,48,61,0,620,3,290,0,13,35,0,56,330,9,12,15,26,23,3,46,24,20,9,8,26,0,9,32,182,18,109,30,280,7859,40,18,22,11,303,21,0,25,331,0,25,0,30,149,66,26,0,51,0,50,56,50,521,0,4,116,36,4,20,4,8,15,31,227,20,10,127,7,21,258,13,6,263,100,23,3,3,28,9705,15,"211031267",31,0,8,69,7,27,67,38,6,12,233,19000,9295,6,94,24,8,583,115,16,9,"Ringwood East",118,0,0,0,0,10,18,0,26,0,31,22,46,3,48,35,3,8129,66,9,23,18,17,47,1156,55,2429,1273,29,38,0,82,47,24,44,0,33,0,102,67,6,34,3
