Sa2code,Total,Japanese,Hungarian,English,Serbian,Spanish,Australian Indigenous,Chinese,Austronesian,Thai,Arabic,Russian,Assyrian,Turkish,Greek,Iranic,Polish,Croatian,Korean,Maltese,French,Dutch,Italian,Vietnamese,Germa,Samoan,Macedonian,Indo Aryan,Tamil,Khmer,Portuguese
209011200,11085,40,4,8243,16,66,0,554,52,17,55,32,0,12,394,46,28,52,31,6,38,0,424,75,33,0,44,155,65,0,8
209021208,22941,28,10,10260,61,152,9,978,178,20,1455,32,88,113,1219,114,30,125,35,182,61,14,4060,342,36,39,406,1109,59,3,43
209031209,22802,29,19,20338,22,47,3,176,37,13,57,25,0,24,213,27,29,44,10,12,81,69,394,13,121,0,106,76,9,3,6
211051279,5541,3,17,4982,0,6,0,19,3,0,3,3,0,0,6,4,25,4,6,0,15,117,86,0,42,0,3,0,0,3,0
209031210,3510,8,4,3321,0,15,0,3,0,3,4,0,0,0,9,4,3,6,0,3,3,5,20,0,15,0,0,6,0,0,0
209031211,3578,0,7,3241,0,12,4,3,0,0,0,3,0,0,22,3,0,4,0,0,4,3,26,0,12,0,4,10,0,0,0
209031212,5021,3,3,4693,0,8,0,13,0,3,0,0,0,0,16,3,6,3,0,6,8,13,39,0,26,0,6,0,0,0,0
209031213,8951,6,7,7300,41,22,0,107,23,8,82,14,0,43,178,9,6,67,3,16,19,8,437,3,46,0,130,67,8,0,9
209031214,6607,12,0,6021,0,8,0,31,3,0,7,3,0,0,65,6,13,6,3,5,20,25,78,3,32,0,3,12,0,0,0
211031267,19000,25,28,15988,15,69,0,620,94,24,46,26,0,0,109,48,46,18,47,0,51,50,116,82,102,0,6,227,31,21,7
209041224,12029,10,6,10367,14,19,0,28,53,7,53,3,6,44,59,0,12,23,4,73,0,11,221,6,31,29,80,39,12,3,12
209041225,7416,0,7,6568,8,6,0,12,10,0,9,5,3,4,82,0,7,12,0,32,3,23,194,0,27,0,114,6,7,0,5
206011105,22761,76,10,14331,32,216,4,774,291,41,666,33,42,199,1405,39,30,59,48,53,140,30,1426,183,111,0,19,759,49,9,39
206011106,8476,40,0,5551,13,80,0,249,49,16,211,13,17,40,393,6,19,20,3,36,40,11,779,72,41,0,18,181,13,0,16
214021383,16128,8,18,13974,19,12,0,30,18,4,10,3,0,0,229,0,6,65,0,11,31,23,373,3,65,0,9,6,3,10,6
206011107,13149,48,6,7871,29,143,0,439,196,29,389,13,6,94,809,63,28,44,28,28,38,16,907,110,59,7,13,604,26,0,24
206071142,9431,41,3,5867,24,97,6,506,30,32,155,3,0,58,157,68,22,17,8,9,66,20,145,482,44,0,65,45,4,0,3
206011108,24977,62,11,13335,40,165,0,612,225,50,1828,16,24,589,1832,53,54,81,38,85,92,24,2744,168,112,0,50,892,65,13,33
206011109,9533,21,3,6072,3,73,0,107,48,14,272,10,6,68,908,8,7,17,12,24,21,8,1068,70,17,0,25,189,12,6,12
206031115,9158,38,3,4695,10,112,3,872,101,9,383,11,0,99,102,26,10,15,35,33,34,11,169,465,27,0,6,238,28,7,9
206021110,8206,16,16,5883,16,73,0,229,17,12,48,7,0,3,627,23,15,24,5,10,14,19,400,69,27,0,42,189,10,3,8
213011328,7160,14,20,3004,36,82,6,251,121,12,130,7,3,32,85,52,164,51,6,221,14,6,134,621,56,21,36,755,54,0,6
206021111,22921,59,6,16268,45,132,9,443,82,44,234,15,0,20,2184,28,26,65,16,19,88,29,1030,274,119,6,152,218,30,8,23
208021179,10739,82,34,7724,15,65,0,215,42,16,12,221,0,9,291,3,91,8,37,4,111,18,189,18,60,0,11,206,8,0,21
206021112,17434,37,11,10464,50,124,0,416,60,33,421,9,12,37,1677,46,25,46,6,19,69,14,1268,243,68,7,173,679,21,10,45
206041117,14104,94,6,5660,30,175,0,3200,619,117,339,25,4,74,76,101,13,23,166,5,110,20,238,206,51,3,21,298,60,3,15
206031113,13476,17,4,8893,22,174,0,481,83,20,216,22,0,61,360,20,26,52,20,65,58,15,656,421,35,0,18,202,24,6,10
206041118,5790,44,0,2791,9,44,0,810,124,38,83,21,0,14,53,23,7,10,101,0,34,3,63,61,38,0,10,211,30,3,18
206031114,24762,56,13,18316,45,131,3,504,108,35,194,26,9,79,708,25,81,155,53,55,66,10,1411,144,71,3,20,680,54,3,13
206041119,4903,33,4,3720,3,37,0,159,24,8,11,12,0,4,44,12,11,9,11,3,30,8,63,27,39,0,0,47,6,0,0
206041120,76,0,0,52,0,3,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
206041125,5998,35,11,4402,7,53,0,226,86,21,11,21,0,3,44,14,18,3,20,3,50,9,48,10,39,4,3,136,7,0,14
206031116,13532,33,22,9599,12,124,3,288,62,31,77,16,7,32,491,10,26,87,10,49,46,14,1198,82,36,0,48,317,24,0,10
206061135,8760,45,19,6563,30,48,0,347,73,38,11,50,0,16,274,12,27,13,29,0,60,16,95,36,30,0,0,179,10,3,3
206041121,9718,43,6,6668,19,91,0,821,78,33,86,12,0,20,66,25,11,44,35,33,31,13,191,331,45,0,16,87,18,4,17
206041122,20031,173,17,6322,20,182,0,5563,1417,394,342,41,0,33,57,54,23,14,594,9,163,16,157,221,54,3,10,780,157,16,57
